url,titleen,budget,boxdom,boxint,boxtot
https://www.boxofficemojo.com/search/?q=The+Great+Escape,The Great Escape,nan,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"$227,940","$227,940"
https://www.boxofficemojo.com/search/?q=Rain+Man,Rain Man,"$25,000,000","$172,825,435","$182,000,000","$354,825,435"
https://www.boxofficemojo.com/search/?q=Seppuku,Hara-Kiri,nan,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","$15,222","$15,222"
https://www.boxofficemojo.com/search/?q=Sunset+Blvd.,Sunset Blvd.,nan,"$299,645",$428,"$300,073"
https://www.boxofficemojo.com/search/?q=E.T.+The+Extra-Terrestrial,E.T. the Extra-Terrestrial,"$10,500,000","$435,110,554","$304,203,888","$792,910,554"
https://www.boxofficemojo.com/search/?q=Hauru+no+ugoku+shiro,Howl's Moving Castle,nan,"$5,576,743","$230,637,703","$236,214,446"
https://www.boxofficemojo.com/search/?q=Dallas+Buyers+Club,Dallas Buyers Club,"$5,000,000","$27,298,285","$28,438,303","$55,736,588"
"https://www.boxofficemojo.com/search/?q=Three+Billboards+Outside+Ebbing,+Missouri","Three Billboards Outside Ebbing, Missouri",nan,"$54,513,740","$105,678,291","$160,192,031"
https://www.boxofficemojo.com/search/?q=Taxi+Driver,Taxi Driver,nan,"$28,262,574","$178,718","$28,441,292"
https://www.boxofficemojo.com/search/?q=The+Prestige,The Prestige,"$40,000,000","$53,089,891","$56,586,420","$109,676,311"
https://www.boxofficemojo.com/search/?q=The+Night+of+the+Hunter,The Night of the Hunter,nan,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.","$2,001","$2,001"
https://www.boxofficemojo.com/search/?q=Tonari+no+Totoro,My Neighbor Totoro,nan,"$2,250,213","$28,297,348","$30,547,561"
https://www.boxofficemojo.com/search/?q=Modern+Times,Modern Times,nan,"$163,577","$294,111","$457,688"
https://www.boxofficemojo.com/search/?q=Nous+trois+ou+rien,All Three of Us,nan,"An Iranian family survives the shah and the ayatollah and moves to France. This story follows the family through it all. Despite the politics, revolution, prison, beatings, assassinations and suicides this is a comedy.","$3,985,169","$3,985,169"
https://www.boxofficemojo.com/search/?q=The+Sixth+Sense,The Sixth Sense,"$40,000,000","$293,506,292","$379,300,000","$672,806,292"
https://www.boxofficemojo.com/search/?q=How+to+Train+Your+Dragon+2,How to Train Your Dragon 2,"$145,000,000","$177,002,924","$444,534,595","$621,537,519"
https://www.boxofficemojo.com/search/?q=Star+Wars:+Episode+VI+-+Return+of+the+Jedi,Star Wars: Episode VI - Return of the Jedi,"$32,500,000","$309,306,177","$122,009,457","$475,106,177"
https://www.boxofficemojo.com/search/?q=Hotaru+No+Haka,Grave of the Fireflies,nan,A young boy and his little sister struggle to survive in Japan during World War II.,,"$516,962"
https://www.boxofficemojo.com/search/?q=Star+Wars:+Episode+IV+-+A+New+Hope,Star Wars: Episode IV - A New Hope,"$11,000,000","$460,998,507","$195,751,992","$775,398,007"
https://www.boxofficemojo.com/search/?q=The+Silence+of+the+Lambs,The Silence of the Lambs,"$19,000,000","$130,742,922","$142,000,000","$272,742,922"
https://www.boxofficemojo.com/search/?q=Back+to+the+Future,Back to the Future,"$19,000,000","$211,406,762","$170,500,000","$381,109,762"
https://www.boxofficemojo.com/search/?q=Joker,Joker,"$55,000,000","$335,451,311","$738,800,000","$1,074,251,311"
https://www.boxofficemojo.com/search/?q=The+Imitation+Game,The Imitation Game,nan,"$91,125,683","$142,430,025","$233,555,708"
https://www.boxofficemojo.com/search/?q=Kimi+no+na+wa.,Your Name.,nan,"$5,017,246","$352,968,841","$357,986,087"
https://www.boxofficemojo.com/search/?q=One+Flew+Over+the+Cuckoo's+Nest,One Flew Over the Cuckoo's Nest,"$3,000,000","$108,981,275","$16,354","$108,997,629"
https://www.boxofficemojo.com/search/?q=The+Lord+of+the+Rings:+The+Return+of+the+King,The Lord of the Rings: The Return of the King,"$94,000,000","$377,845,905","$764,611,082","$1,142,456,987"
https://www.boxofficemojo.com/search/?q=The+Godfather,The Godfather,"$6,000,000","$134,966,411","$111,154,575","$246,120,986"
https://www.boxofficemojo.com/search/?q=Schindler's+List,Schindler's List,"$22,000,000","$96,898,818","$225,262,427","$322,161,245"
https://www.boxofficemojo.com/search/?q=The+Shawshank+Redemption,The Shawshank Redemption,"$25,000,000","$28,699,976","$117,315","$28,817,291"
https://www.boxofficemojo.com/search/?q=The+Green+Mile,The Green Mile,"$60,000,000","$136,801,374","$150,000,000","$286,801,374"
https://www.boxofficemojo.com/search/?q=Twelve+Angry+Men,12 Angry Men,nan,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,$955,$955
https://www.boxofficemojo.com/search/?q=Mustang,The Mustang,nan,"$5,043,620","$1,362,196","$6,405,816"
https://www.boxofficemojo.com/search/?q=Midnight+Express,Midnight Express,"$2,300,000",", an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",,"$35,000,000"
https://www.boxofficemojo.com/search/?q=The+Dark+Knight,The Dark Knight,"$185,000,000","$534,858,444","$471,115,201","$1,005,973,645"
https://www.boxofficemojo.com/search/?q=Avatar,Avatar,"$237,000,000","$760,507,625","$2,029,931,467","$2,790,439,092"
https://www.boxofficemojo.com/search/?q=The+Greatest+Showman,The Greatest Showman,"$84,000,000","$174,340,174","$260,769,981","$435,110,155"
https://www.boxofficemojo.com/search/?q=WALL%E2%80%A2E,WALL·E,"$180,000,000","$223,808,164","$297,503,696","$521,311,860"
https://www.boxofficemojo.com/search/?q=Ready+Player+One,Ready Player One,"$175,000,000","$137,690,172","$445,203,499","$582,893,671"
https://www.boxofficemojo.com/search/?q=Philadelphia,Philadelphia,"$26,000,000","$77,446,440","$129,232,000","$206,678,440"
https://www.boxofficemojo.com/search/?q=Scarface,Scarface,nan,"$45,408,703","$20,476,000","$65,884,703"
https://www.boxofficemojo.com/search/?q=Pupille,In Safe Hands,nan,"$1,737","$7,084,859","$7,086,596"
https://www.boxofficemojo.com/search/?q=Ugetsu+monogatari,Ugetsu,nan,"$11,197","$13,762","$24,959"
https://www.boxofficemojo.com/search/?q=Ratatouille,Ratatouille,"$150,000,000","$206,445,654","$417,280,431","$623,726,085"
https://www.boxofficemojo.com/search/?q=Carlito's+Way,Carlito's Way,"$30,000,000","$36,948,322","$26,900,000","$63,848,322"
https://www.boxofficemojo.com/search/?q=C'est+tout+pour+moi,C'est tout pour moi,nan,"Lila had a dream to become a dancer since she's a little. She went to Paris trying to make her dream come true. But soon she found out it's not what she thought, her dream was disillusioned. Then she decided to be as a stand-up comedian and a famous one to make her father proud..","$5,521,370","$5,521,370"
https://www.boxofficemojo.com/search/?q=The+Elephant+Man,The Elephant Man,nan,"$26,010,864","$12,597","$26,023,461"
https://www.boxofficemojo.com/search/?q=Song+of+the+Sea,Song of the Sea,nan,"$857,522","$3,333,362","$4,190,884"
https://www.boxofficemojo.com/search/?q=Ernest+et+Celestine,Ernest & Celestine,nan,"$262,075","$7,849,062","$8,111,137"
https://www.boxofficemojo.com/search/?q=Okami+kodomo+no+ame+to+yuki,Wolf Children,nan,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.","$55,060,661","$55,060,661"
https://www.boxofficemojo.com/search/?q=The+Untouchables,The Untouchables,nan," and, because of rampant corruption, assembles a small, hand-picked team to help him.",,"$76,270,454"
https://www.boxofficemojo.com/search/?q=Citizen+Kane,Citizen Kane,nan,"$1,585,634","$15,085","$1,600,719"
https://www.boxofficemojo.com/search/?q=Inglourious+Basterds,Inglourious Basterds,"$70,000,000","$120,540,719","$200,914,970","$321,455,689"
