titleint,boxdom,boxint,boxtot
Spirited Away,"$13,750,644","$341,725,273","$355,475,917"
Star Wars: Episode IV - A New Hope,"$460,998,507","$195,751,992","$775,398,007"
Joker,"$335,451,311","$738,800,000","$1,074,251,311"
Back to the Future,"$211,406,762","$170,500,000","$381,109,762"
The Intouchables,"$10,198,820","$416,389,690","$426,588,510"
Bohemian Rhapsody,"$216,668,042","$688,336,487","$905,004,529"
Whiplash,"$13,092,000","$36,304,747","$49,396,747"
Life Is Beautiful,"$57,563,264","$172,535,489","$230,098,753"
American History X,"$6,719,864","$17,155,263","$23,875,127"
Hacksaw Ridge,"$67,209,615","$113,241,303","$180,450,918"
Inception,"$292,576,195","$544,260,772","$836,836,967"
The Tale of The Princess Kaguya,"$974,913","$23,731,253","$24,706,166"
Incendies,"$2,071,334","$5,028,264","$7,099,598"
The Kid,"$1,508,593","$53,105","$1,561,698"
Avengers: Infinity War,"$678,815,482","$1,369,544,272","$2,048,359,754"
The Matrix,"$171,479,930","$294,884,752","$466,364,682"
Captain Fantastic,"$5,879,835","$17,243,757","$23,123,592"
Zootopia,"$341,268,248","$682,524,310","$1,023,792,558"
12 Years a Slave,"$56,671,993","$131,061,209","$187,733,202"
Titanic,"$659,363,944","$1,812,390,363","$2,471,754,307"
Rush,"$26,947,624","$70,035,385","$96,983,009"
Rear Window,"$36,764,313","$270,201","$37,034,514"
The Godfather: Part II,"$47,834,595","$201,188","$48,035,783"
How to Train Your Dragon,"$217,581,231","$277,297,528","$494,878,759"
Ford v Ferrari,"$117,624,357","$107,883,853","$225,508,210"
Lion,"$51,738,905","$88,574,023","$140,312,928"
Goodfellas,"$46,836,214","$116,777","$46,952,991"
Se7en,"$100,125,643","$227,207,916","$327,333,559"
Once Upon a Time in the West,"$5,321,508","$113,317","$5,415,645"
Star Wars: Episode V - The Empire Strikes Back,"$292,753,960","$190,685,234","$538,375,067"
"The Good, the Bad and the Ugly","$25,100,000","$152,927","$25,252,927"
Green Book,"$85,080,171","$236,672,485","$321,752,656"
Shutter Island,"$128,012,934","$166,792,763","$294,805,697"
Coco,"$210,460,015","$597,357,873","$807,817,888"
Warrior,"$13,657,115","$9,651,500","$23,308,615"
Oldboy,"$707,481","$14,294,635","$15,002,116"
The Notebook,"$81,001,787","$36,813,370","$117,815,157"
Interstellar,"$188,020,017","$513,703,663","$701,723,680"
Incredibles 2,"$608,581,744","$634,507,500","$1,243,089,244"
Amadeus,"$51,973,029","$93,762","$52,066,791"
My Name Is Khan,"$4,018,771","$38,326,589","$42,345,360"
Slumdog Millionaire,"$141,319,928","$237,090,614","$378,410,542"
Singin' in the Rain,"$1,826,108","$38,948","$1,865,056"
The Hobbit: An Unexpected Journey,"$303,003,568","$714,000,000","$1,017,003,568"
Braveheart,"$75,609,945","$137,606,271","$212,215,441"
A Star Is Born,"$215,288,866","$220,900,000","$436,188,866"
Kingsman: The Secret Service,"$128,261,724","$286,089,822","$414,351,546"
Delivery Man,"$30,664,106","$22,456,240","$53,120,346"
Pirate Radio,"$8,017,917","$28,330,867","$36,348,784"
"Like Father, Like Son","$334,616","$36,835,547","$37,170,163"
The Perks of Being a Wallflower,"$17,742,948","$15,641,179","$33,384,127"
The Breadwinner,"$313,215","$2,476,999","$2,790,214"
Moana,"$248,757,044","$394,593,954","$643,350,998"
American Beauty,"$130,096,601","$226,200,000","$356,296,601"
The Fault in Our Stars,"$124,872,350","$182,294,484","$307,166,834"
The Revenant,"$183,637,894","$349,312,609","$532,950,503"
The Wolf of Wall Street,"$116,900,694","$275,100,000","$392,000,694"
Die Hard,"$83,844,093","$57,759,104","$141,603,197"
Guardians of the Galaxy,"$333,718,600","$439,631,547","$773,350,147"
The Fifth Element,"$63,820,180","$200,100,000","$263,920,180"
Tangled,"$200,821,936","$391,640,023","$592,461,959"
Southpaw,"$52,421,953","$39,548,874","$91,970,827"
Platoon,"$138,530,565","$15,067","$138,545,632"
Colonia,"$15,709","$3,605,337","$3,621,046"
Dial M for Murder,"$12,562","$6,254","$18,816"
Nausicaä of the Valley of the Wind,"$495,770","$8,240,736","$8,736,506"
The Hunt,"$613,308","$15,229,966","$15,843,274"
Snatch,"$30,328,156","$53,229,716","$83,557,872"
The Secret in Their Eyes,"$6,391,436","$28,688,214","$35,079,650"
Star Wars: Episode III - Revenge of the Sith,"$380,270,577","$488,119,983","$868,390,560"
City of God,"$7,564,459","$23,116,334","$30,680,793"
Sunset Blvd.,"$299,645",$428,"$300,073"
Isle of Dogs,"$32,015,231","$32,284,126","$64,299,357"
The Bridges of Madison County,"$71,516,617","$110,500,000","$182,016,617"
Lee Daniels' The Butler,"$116,632,095","$60,681,700","$177,313,795"
Papillon,"$2,335,896","$7,725,007","$10,060,903"
Casablanca,"$4,108,411","$267,876","$4,376,287"
Unforgiven,"$101,157,447","$58,000,000","$159,157,447"
God's Own Country,"$335,609","$2,224,330","$2,559,939"
Departures,"$1,498,210","$69,138,741","$70,636,951"
Avengers: Endgame,"$858,373,000","$1,939,427,564","$2,797,800,564"
Alita: Battle Angel,"$85,838,210","$319,142,333","$404,980,543"
Pride,"$1,446,634","$15,328,995","$16,775,629"
When Marnie Was There,"$561,085","$34,388,482","$34,949,567"
Memories of Murder,"$15,357","$1,142,805","$1,158,162"
Gifted,"$24,801,212","$18,268,042","$43,069,254"
Eternal Sunshine of the Spotless Mind,"$34,400,301","$39,636,414","$74,036,715"
Children of Paradise,"$36,986","$5,795","$42,781"
Mystic River,"$90,135,191","$66,460,000","$156,595,191"
The Hate U Give,"$29,719,483","$5,214,526","$34,934,009"
Straight Outta Compton,"$161,197,785","$40,437,206","$201,634,991"
Toy Story,"$223,225,679","$171,210,907","$373,554,033"
BPM (Beats Per Minute),"$125,189","$7,579,180","$7,704,369"
Jurassic Park,"$404,214,720","$629,713,583","$1,033,928,303"
The Grand Budapest Hotel,"$59,301,324","$113,643,202","$172,944,526"
Requiem for a Dream,"$3,635,482","$3,754,626","$7,390,108"
The Nightmare Before Christmas,"$77,368,668","$14,122,579","$91,491,247"
